target,feature_group,fold,model,candidate,rmse,mae,directional_accuracy,rows
ITMG.JK,E1,fold1,gru,lookback5_hidden16,0.03285897883460601,0.023013327965389723,0.5537190082644629,242
ITMG.JK,E1,fold2,gru,lookback5_hidden16,0.028840544135678426,0.021186219254246564,0.4817813765182186,247
ITMG.JK,E1,fold3,gru,lookback5_hidden16,0.02549023412965622,0.018589042059223477,0.540650406504065,246
ITMG.JK,E1,fold1,gru,lookback10_hidden32,0.03298334607255765,0.023102410761100693,0.5495867768595041,242
ITMG.JK,E1,fold2,gru,lookback10_hidden32,0.028800325187121483,0.02113649227726179,0.4777327935222672,247
ITMG.JK,E1,fold3,gru,lookback10_hidden32,0.025509319427641668,0.018579538077744467,0.5284552845528455,246
ITMG.JK,E1,fold1,transformer,lookback5_d16_heads2_ff32,0.032707648242164364,0.02334401569466784,0.512396694214876,242
ITMG.JK,E1,fold2,transformer,lookback5_d16_heads2_ff32,0.029225637056525054,0.02136703625770082,0.5060728744939271,247
ITMG.JK,E1,fold3,transformer,lookback5_d16_heads2_ff32,0.025660483735059865,0.018902944512826172,0.5,246
ITMG.JK,E1,fold1,transformer,lookback10_d32_heads4_ff64,0.03301206076733059,0.023278622953692638,0.5041322314049587,242
ITMG.JK,E1,fold2,transformer,lookback10_d32_heads4_ff64,0.029107382001849202,0.02125119710216668,0.48582995951417,247
ITMG.JK,E1,fold3,transformer,lookback10_d32_heads4_ff64,0.025604315226463985,0.018847093227928942,0.516260162601626,246
ITMG.JK,E2,fold1,zero_return_naive,,0.03348721492052905,0.023380197011226237,0.06198347107438017,242
ITMG.JK,E2,fold1,xgboost,depth2_lr005,0.0331265992404821,0.02390901295730214,0.5041322314049587,242
ITMG.JK,E2,fold1,xgboost,depth3_lr003,0.033122914070938585,0.023904936057092933,0.512396694214876,242
ITMG.JK,E2,fold2,zero_return_naive,,0.0288905492071153,0.021081356962732858,0.024291497975708502,247
ITMG.JK,E2,fold2,xgboost,depth2_lr005,0.029226994324019685,0.021308773924273078,0.5020242914979757,247
ITMG.JK,E2,fold2,xgboost,depth3_lr003,0.02938511607356688,0.021521651262618298,0.4979757085020243,247
ITMG.JK,E2,fold3,zero_return_naive,,0.02569605960013185,0.01865717503035267,0.036585365853658534,246
ITMG.JK,E2,fold3,xgboost,depth2_lr005,0.025587813132358122,0.018714634797168728,0.5487804878048781,246
ITMG.JK,E2,fold3,xgboost,depth3_lr003,0.025725974015514082,0.01883403192946498,0.5121951219512195,246
ITMG.JK,E2,fold1,gru,lookback5_hidden16,0.033070640180183776,0.023198671089360214,0.49586776859504134,242
ITMG.JK,E2,fold2,gru,lookback5_hidden16,0.02887545437271159,0.02124373262454963,0.46558704453441296,247
ITMG.JK,E2,fold3,gru,lookback5_hidden16,0.025515357344762866,0.01867185679559664,0.5284552845528455,246
ITMG.JK,E2,fold1,gru,lookback10_hidden32,0.032981343455559094,0.0231519128349398,0.49173553719008267,242
ITMG.JK,E2,fold2,gru,lookback10_hidden32,0.028945077020277835,0.02122298065174243,0.4574898785425101,247
ITMG.JK,E2,fold3,gru,lookback10_hidden32,0.02551184642804579,0.018637334127679497,0.524390243902439,246
ITMG.JK,E2,fold1,transformer,lookback5_d16_heads2_ff32,0.0333299721033,0.023536052461521132,0.48760330578512395,242
ITMG.JK,E2,fold2,transformer,lookback5_d16_heads2_ff32,0.028783380059837743,0.0211580495384469,0.46963562753036436,247
ITMG.JK,E2,fold3,transformer,lookback5_d16_heads2_ff32,0.025271168908103166,0.01840020447015399,0.573170731707317,246
ITMG.JK,E2,fold1,transformer,lookback10_d32_heads4_ff64,0.03331961291695483,0.023695424557009265,0.44214876033057854,242
ITMG.JK,E2,fold2,transformer,lookback10_d32_heads4_ff64,0.028979040436496448,0.021081912039066494,0.5020242914979757,247
ITMG.JK,E2,fold3,transformer,lookback10_d32_heads4_ff64,0.025404718097627007,0.018581848399670097,0.5447154471544715,246
ITMG.JK,E3,fold1,zero_return_naive,,0.03348721492052905,0.023380197011226237,0.06198347107438017,242
ITMG.JK,E3,fold1,xgboost,depth2_lr005,0.03359128531299502,0.024281052246452415,0.512396694214876,242
ITMG.JK,E3,fold1,xgboost,depth3_lr003,0.034082503392599196,0.024725561918604897,0.5041322314049587,242
ITMG.JK,E3,fold2,zero_return_naive,,0.0288905492071153,0.021081356962732858,0.024291497975708502,247
ITMG.JK,E3,fold2,xgboost,depth2_lr005,0.029085971286550247,0.021135238483714913,0.5425101214574899,247
ITMG.JK,E3,fold2,xgboost,depth3_lr003,0.029422388718258696,0.021461943256980254,0.4939271255060729,247
